Year,Status,No.,School Grade,Value
2023,Public,32,Not-yet,16
2022,Public,32,Not-yet,15
2023,Public,32,B,12
2022,Public,32,B,12
2021,Private,32,Not-yet,11
2022,Private,32,Not-yet,8
2023,Private,32,Not-yet,7
2023,Public,32,C,7
2022,Public,32,C,5
2021,Public,32,B,4
2023,Private,32,B,2
2023,Private,32,C,2
2022,Private,32,B,2
2022,Private,32,C,1
2021,Public,32,C,1
2023,Private,32,No,0
2023,Public,32,No,0
2022,Public,32,No,0
2022,Private,32,No,0
2021,Public,32,No,0
2021,Private,32,No,0
2023,Private,32,A,0
2023,Public,32,A,0
2022,Public,32,A,0
2022,Private,32,A,0
2021,Public,32,A,0
2021,Private,32,A,0
2021,Private,32,C,0
2021,Private,32,B,0
2022,Public,33,Not-yet,7
2021,Public,33,Not-yet,7
2023,Public,33,Not-yet,4
2022,Private,33,Not-yet,3
2021,Private,33,Not-yet,2
2023,Private,33,C,1
2023,Private,33,Not-yet,1
2023,Public,33,B,1
2022,Private,33,C,1
2021,Private,33,C,1
2023,Private,33,No,0
2023,Public,33,No,0
2022,Public,33,No,0
2022,Private,33,No,0
2021,Public,33,No,0
2021,Private,33,No,0
2023,Private,33,A,0
2023,Public,33,A,0
2022,Public,33,A,0
2022,Private,33,A,0
2021,Public,33,A,0
2021,Private,33,A,0
2023,Public,33,C,0
2022,Public,33,C,0
2021,Public,33,C,0
2023,Private,33,B,0
2022,Public,33,B,0
2022,Private,33,B,0
2021,Public,33,B,0
2021,Private,33,B,0
2023,Private,34,Not-yet,2
2023,Public,34,B,2
2023,Public,34,C,2
2022,Public,34,B,2
2022,Public,34,C,2
2021,Public,34,B,2
2021,Public,34,C,2
2023,Private,34,Not-yet,1
2023,Public,34,B,1
2023,Public,34,Not-yet,1
2022,Private,34,Not-yet,1
2021,Private,34,Not-yet,1
2023,Private,34,No,0
2023,Private,34,No,0
2023,Private,34,No,0
2023,Private,34,No,0
2023,Private,34,No,0
2023,Public,34,No,0
2023,Public,34,No,0
2023,Public,34,No,0
2023,Public,34,No,0
2023,Public,34,No,0
2022,Public,34,No,0
2022,Private,34,No,0
2021,Public,34,No,0
2021,Private,34,No,0
2023,Private,34,A,0
2023,Private,34,A,0
2023,Private,34,A,0
2023,Private,34,A,0
2023,Private,34,A,0
2023,Public,34,A,0
2023,Public,34,A,0
2023,Public,34,A,0
2023,Public,34,A,0
2023,Public,34,A,0
2022,Public,34,A,0
2022,Private,34,A,0
2021,Public,34,A,0
2021,Private,34,A,0
2023,Private,34,C,0
2023,Private,34,C,0
2023,Private,34,C,0
2023,Private,34,C,0
2023,Private,34,C,0
2023,Public,34,C,0
2023,Public,34,C,0
2023,Public,34,C,0
2023,Public,34,C,0
2022,Private,34,C,0
2021,Private,34,C,0
2023,Private,34,B,0
2023,Private,34,B,0
2023,Private,34,Not-yet,0
2023,Private,34,B,0
2023,Private,34,B,0
2023,Private,34,Not-yet,0
2023,Private,34,B,0
2023,Private,34,Not-yet,0
2023,Public,34,B,0
2023,Public,34,Not-yet,0
2023,Public,34,Not-yet,0
2023,Public,34,B,0
2023,Public,34,B,0
2023,Public,34,Not-yet,0
2023,Public,34,Not-yet,0
2022,Public,34,Not-yet,0
2022,Private,34,B,0
2021,Public,34,Not-yet,0
2021,Private,34,B,0
