Year,Status,No.,Disability Type,Total
2022,Private,16,Mentally Retarded,392
2022,Private,16,Physically Handicapped,12
2022,Private,16,Blind,28
2022,Private,16,Deaf,110
2022,Private,16,Others,217
2021,Private,16,Physically Handicapped,11
2021,Private,16,Others,184
2021,Private,16,Deaf,114
2021,Private,16,Mentally Retarded,446
2021,Private,16,Blind,30
2023,Public,16,Physically Handicapped,13
2023,Public,16,Others,200
2023,Public,16,Mentally Retarded,742
2023,Public,16,Blind,20
2023,Public,16,Deaf,389
2022,Public,16,Mentally Retarded,781
2022,Public,16,Physically Handicapped,18
2022,Public,16,Deaf,406
2022,Public,16,Others,168
2022,Public,16,Blind,21
2021,Public,16,Physically Handicapped,12
2021,Public,16,Others,117
2021,Public,16,Mentally Retarded,796
2021,Public,16,Blind,20
2021,Public,16,Deaf,399
2023,Private,17,Physically Handicapped,5
2023,Private,17,Others,389
2023,Private,17,Mentally Retarded,288
2023,Private,17,Blind,3
2023,Private,17,Deaf,150
2022,Private,17,Mentally Retarded,240
2022,Private,17,Physically Handicapped,1
2022,Private,17,Deaf,140
2022,Private,17,Others,372
2022,Private,17,Blind,3
2021,Private,17,Physically Handicapped,7
2021,Private,17,Others,316
2021,Private,17,Mentally Retarded,263
2021,Private,17,Blind,4
2021,Private,17,Deaf,142
2023,Public,17,Deaf,217
2023,Public,17,Mentally Retarded,480
2023,Public,17,Physically Handicapped,42
2023,Public,17,Others,355
2023,Public,17,Blind,46
2022,Public,17,Mentally Retarded,456
2022,Public,17,Physically Handicapped,41
2022,Public,17,Deaf,210
2022,Public,17,Others,281
2022,Public,17,Blind,38
2021,Public,17,Physically Handicapped,45
2021,Public,17,Others,228
2021,Public,17,Mentally Retarded,439
2021,Public,17,Blind,33
2021,Public,17,Deaf,182
2023,Private,18,Blind,0
2023,Private,18,Physically Handicapped,3
2023,Private,18,Mentally Retarded,36
2023,Private,18,Deaf,11
2023,Private,18,Others,133
2022,Private,18,Blind,0
2022,Private,18,Deaf,12
2022,Private,18,Mentally Retarded,34
2022,Private,18,Physically Handicapped,3
2022,Private,18,Others,100
2021,Private,18,Deaf,17
2021,Private,18,Mentally Retarded,57
2021,Private,18,Physically Handicapped,5
2021,Private,18,Others,90
2021,Private,18,Blind,0
2023,Public,18,Blind,22
2023,Public,18,Others,385
2023,Public,18,Mentally Retarded,523
2023,Public,18,Deaf,198
2023,Public,18,Physically Handicapped,62
2022,Public,18,Physically Handicapped,77
2022,Public,18,Blind,19
2022,Public,18,Deaf,204
2022,Public,18,Mentally Retarded,546
2022,Public,18,Others,312
2021,Public,18,Others,257
2021,Public,18,Deaf,188
2021,Public,18,Mentally Retarded,522
2021,Public,18,Physically Handicapped,69
2021,Public,18,Blind,20
2023,Private,19,Others,78
2023,Private,19,Blind,0
2023,Private,19,Deaf,21
2023,Private,19,Mentally Retarded,44
2023,Private,19,Physically Handicapped,11
2022,Private,19,Physically Handicapped,9
2022,Private,19,Others,82
2022,Private,19,Mentally Retarded,43
2022,Private,19,Blind,0
2022,Private,19,Deaf,17
2021,Private,19,Others,52
2021,Private,19,Blind,0
2021,Private,19,Physically Handicapped,9
2021,Private,19,Deaf,20
2021,Private,19,Mentally Retarded,38
2023,Public,19,Blind,57
2023,Public,19,Deaf,507
2023,Public,19,Others,814
2023,Public,19,Physically Handicapped,84
2023,Public,19,Mentally Retarded,1204
2022,Public,19,Others,675
2022,Public,19,Mentally Retarded,1169
2022,Public,19,Physically Handicapped,88
2022,Public,19,Blind,53
2022,Public,19,Deaf,501
2021,Public,19,Blind,48
2021,Public,19,Physically Handicapped,95
2021,Public,19,Others,545
2021,Public,19,Deaf,498
2021,Public,19,Mentally Retarded,1230
2023,Private,20,Deaf,70
2023,Private,20,Others,533
2023,Private,20,Physically Handicapped,23
2023,Private,20,Mentally Retarded,408
2023,Private,20,Blind,4
2022,Private,20,Others,407
2022,Private,20,Blind,3
2022,Private,20,Mentally Retarded,386
2022,Private,20,Deaf,75
2022,Private,20,Physically Handicapped,29
2021,Private,20,Blind,5
2021,Private,20,Deaf,93
2021,Private,20,Physically Handicapped,31
2021,Private,20,Mentally Retarded,397
2021,Private,20,Others,337
2023,Public,20,Deaf,351
2023,Public,20,Blind,48
2023,Public,20,Mentally Retarded,762
2023,Public,20,Others,569
2023,Public,20,Physically Handicapped,68
2022,Public,20,Others,477
2022,Public,20,Deaf,359
2022,Public,20,Blind,41
2022,Public,20,Physically Handicapped,65
2022,Public,20,Mentally Retarded,724
2021,Public,20,Blind,37
2021,Public,20,Mentally Retarded,761
2021,Public,20,Deaf,350
2021,Public,20,Others,409
2021,Public,20,Physically Handicapped,72
2023,Private,21,Physically Handicapped,0
2023,Private,21,Others,11
2023,Private,21,Mentally Retarded,2
2023,Private,21,Blind,0
2023,Private,21,Deaf,0
2022,Private,21,Blind,0
2022,Private,21,Deaf,0
2022,Private,21,Mentally Retarded,0
2022,Private,21,Others,0
2022,Private,21,Physically Handicapped,0
2021,Private,21,Deaf,0
2021,Private,21,Mentally Retarded,0
2021,Private,21,Physically Handicapped,0
2021,Private,21,Blind,0
2021,Private,21,Others,0
2023,Public,21,Blind,8
2023,Public,21,Mentally Retarded,294
2023,Public,21,Deaf,70
2023,Public,21,Others,211
2023,Public,21,Physically Handicapped,15
2022,Public,21,Deaf,73
2022,Public,21,Blind,6
2022,Public,21,Others,176
2022,Public,21,Physically Handicapped,21
2022,Public,21,Mentally Retarded,280
2021,Public,21,Mentally Retarded,274
2021,Public,21,Deaf,74
2021,Public,21,Blind,5
2021,Public,21,Others,151
2021,Public,21,Physically Handicapped,20
2023,Private,22,Others,430
2023,Private,22,Mentally Retarded,586
2023,Private,22,Physically Handicapped,74
2023,Private,22,Blind,24
2023,Private,22,Deaf,174
2022,Private,22,Deaf,193
2022,Private,22,Mentally Retarded,582
2022,Private,22,Physically Handicapped,80
2022,Private,22,Blind,28
2022,Private,22,Others,415
2021,Private,22,Mentally Retarded,566
2021,Private,22,Physically Handicapped,90
2021,Private,22,Others,386
2021,Private,22,Deaf,214
2021,Private,22,Blind,27
2023,Public,22,Blind,16
2023,Public,22,Others,65
2023,Public,22,Deaf,77
2023,Public,22,Mentally Retarded,178
2023,Public,22,Physically Handicapped,19
2022,Public,22,Deaf,71
2022,Public,22,Blind,16
2022,Public,22,Mentally Retarded,179
2022,Public,22,Others,65
2022,Public,22,Physically Handicapped,24
2021,Public,22,Mentally Retarded,174
2021,Public,22,Deaf,78
2021,Public,22,Physically Handicapped,27
2021,Public,22,Blind,15
2021,Public,22,Others,64
2023,Private,23,Blind,0
2023,Private,23,Deaf,0
2023,Private,23,Physically Handicapped,0
2023,Private,23,Others,0
2023,Private,23,Mentally Retarded,0
2022,Private,23,Physically Handicapped,0
2022,Private,23,Blind,0
2022,Private,23,Deaf,0
2022,Private,23,Mentally Retarded,0
2022,Private,23,Others,0
2021,Private,23,Others,0
2021,Private,23,Deaf,0
2021,Private,23,Mentally Retarded,0
2021,Private,23,Physically Handicapped,0
2021,Private,23,Blind,0
2023,Public,23,Deaf,205
2023,Public,23,Blind,35
2023,Public,23,Others,111
2023,Public,23,Mentally Retarded,581
2023,Public,23,Physically Handicapped,128
2022,Public,23,Blind,41
2022,Public,23,Others,100
2022,Public,23,Mentally Retarded,588
2022,Public,23,Deaf,213
2022,Public,23,Physically Handicapped,137
2021,Public,23,Deaf,220
2021,Public,23,Blind,38
2021,Public,23,Physically Handicapped,126
2021,Public,23,Mentally Retarded,560
2021,Public,23,Others,90
2023,Private,24,Blind,24
2023,Private,24,Mentally Retarded,316
2023,Private,24,Deaf,82
2023,Private,24,Others,204
2023,Private,24,Physically Handicapped,43
2022,Private,24,Others,167
2022,Private,24,Blind,18
2022,Private,24,Physically Handicapped,31
2022,Private,24,Deaf,87
2022,Private,24,Mentally Retarded,315
2021,Private,24,Blind,13
2021,Private,24,Deaf,90
2021,Private,24,Others,115
2021,Private,24,Mentally Retarded,280
2021,Private,24,Physically Handicapped,30
2023,Public,24,Deaf,169
2023,Public,24,Blind,28
2023,Public,24,Mentally Retarded,480
2023,Public,24,Others,166
2023,Public,24,Physically Handicapped,81
2022,Public,24,Mentally Retarded,498
2022,Public,24,Physically Handicapped,72
2022,Public,24,Others,140
2022,Public,24,Deaf,175
2022,Public,24,Blind,35
2021,Public,24,Physically Handicapped,70
2021,Public,24,Others,146
2021,Public,24,Blind,37
2021,Public,24,Mentally Retarded,497
2021,Public,24,Deaf,188
2023,Private,25,Deaf,518
2023,Private,25,Blind,162
2023,Private,25,Mentally Retarded,1350
2023,Private,25,Others,666
2023,Private,25,Physically Handicapped,159
2022,Private,25,Physically Handicapped,176
2022,Private,25,Blind,162
2022,Private,25,Deaf,570
2022,Private,25,Others,571
2022,Private,25,Mentally Retarded,1425
2021,Private,25,Others,488
2021,Private,25,Deaf,584
2021,Private,25,Mentally Retarded,1390
2021,Private,25,Blind,170
2021,Private,25,Physically Handicapped,178
2023,Public,25,Physically Handicapped,95
2023,Public,25,Others,385
2023,Public,25,Mentally Retarded,1005
2023,Public,25,Deaf,418
2023,Public,25,Blind,51
2022,Public,25,Mentally Retarded,949
2022,Public,25,Physically Handicapped,107
2022,Public,25,Deaf,431
2022,Public,25,Others,277
2022,Public,25,Blind,51
2021,Public,25,Physically Handicapped,110
2021,Public,25,Others,233
2021,Public,25,Mentally Retarded,941
2021,Public,25,Blind,51
2021,Public,25,Deaf,413
2023,Private,26,Mentally Retarded,221
2023,Private,26,Deaf,98
2023,Private,26,Blind,8
2023,Private,26,Others,60
2023,Private,26,Physically Handicapped,65
2022,Private,26,Others,72
2022,Private,26,Mentally Retarded,254
2022,Private,26,Blind,14
2022,Private,26,Physically Handicapped,70
2022,Private,26,Deaf,110
2021,Private,26,Blind,15
2021,Private,26,Physically Handicapped,79
2021,Private,26,Deaf,119
2021,Private,26,Others,77
2021,Private,26,Mentally Retarded,253
2023,Public,26,Others,189
2023,Public,26,Deaf,142
2023,Public,26,Mentally Retarded,225
2023,Public,26,Physically Handicapped,63
2023,Public,26,Blind,18
2022,Public,26,Mentally Retarded,224
2022,Public,26,Physically Handicapped,64
2022,Public,26,Deaf,149
2022,Public,26,Others,167
2022,Public,26,Blind,19
2021,Public,26,Physically Handicapped,70
2021,Public,26,Others,177
2021,Public,26,Mentally Retarded,223
2021,Public,26,Blind,18
2021,Public,26,Deaf,152
2023,Private,27,Deaf,315
2023,Private,27,Others,666
2023,Private,27,Physically Handicapped,142
2023,Private,27,Mentally Retarded,738
2023,Private,27,Blind,64
2022,Private,27,Others,710
2022,Private,27,Physically Handicapped,162
