School,Year,Province,Public School,Private School,Cililian Teacher,Private Teacher,Public Students,Private Students
SMA,2023/2024,Papua BaratBarat Daya,43,29,972,390,10660,3600
SMA,2023/2024,Papua,57,56,1467,843,22167,11102
SMA,2023/2024,Papua BaratSelatan,22,15,709,214,9966,2918
SMA,2023/2024,Papua BaratTengah,28,28,684,363,10862,5352
SMA,2023/2024,Papua BaratPegunungan,44,18,603,237,9944,3899
SMA,2023/2024,Indonesia,7049,7396,256065,99082,3916907,1393526
SMK,2021/2022,Aceh,152,68,5777,821,49422,7572
SMK,2021/2022,Sumatera Utara,269,705,10074,10560,144571,183120
SMK,2021/2022,Sumatera Barat,114,98,6221,1584,83668,15298
SMK,2021/2022,Riau,128,173,5108,3265,70631,39575
SMK,2021/2022,Jambi,104,73,3484,978,42467,11233
SMK,2021/2022,Sumatera Selatan,118,187,5073,3161,77946,51701
SMK,2021/2022,Bengkulu,64,41,2454,522,30559,4262
SMK,2021/2022,Lampung,111,377,4864,6119,73851,85975
SMK,2021/2022,Kepulauan Bangka Belitung,36,23,1334,385,21046,5781
SMK,2021/2022,Kepulauan Riau,36,75,1507,920,26467,11234
SMK,2021/2022,DKI Jakarta,73,503,3158,8810,59956,147523
SMK,2021/2022,Jawa Barat,288,2619,15960,42169,342636,804274
SMK,2021/2022,Jawa Tengah,237,1314,15738,30657,313603,524814
SMK,2021/2022,DI Yogyakarta,50,164,3349,3541,56795,40158
SMK,2021/2022,Jawa Timur,297,1834,18937,29103,368701,447665
SMK,2021/2022,Banten,81,653,4171,9360,90570,167865
SMK,2021/2022,Bali,53,113,3297,2564,55479,41299
SMK,2021/2022,Nusa Tenggara Barat,99,223,4839,2564,63075,23755
SMK,2021/2022,Nusa Tenggara Timur,158,154,5262,2855,63022,45522
SMK,2021/2022,Kalimantan Barat,107,114,2927,1456,62165,22181
SMK,2021/2022,Kalimantan Tengah,93,44,2460,622,30495,6322
SMK,2021/2022,Kalimantan Selatan,63,64,2889,1150,47437,14078
SMK,2021/2022,Kalimantan Timur,87,131,3300,1886,57403,29088
SMK,2021/2022,Kalimantan Utara,21,11,714,140,10286,1119
SMK,2021/2022,Sulawesi Utara,91,96,2977,1319,38050,15174
SMK,2021/2022,Sulawesi Tengah,106,78,2849,1032,35101,11400
SMK,2021/2022,Sulawesi Selatan,169,247,7204,3195,98586,36514
SMK,2021/2022,Sulawesi Tenggara,102,63,2716,722,32677,6355
SMK,2021/2022,Gorontalo,40,18,1489,319,17037,2751
SMK,2021/2022,Sulawesi Barat,59,72,1756,700,21654,7277
SMK,2021/2022,Maluku,82,33,2070,570,16965,6248
SMK,2021/2022,Maluku Utara,63,83,1154,817,10574,8858
SMK,2021/2022,Papua BaratBarat,33,24,866,377,12239,4724
SMK,2021/2022,Papua,79,60,1938,986,23665,13424
SMK,2021/2022,Indonesia,3663,10535,157916,175229,2548799,2844139
SMK,2022/2023,Aceh,153,67,6124,784,45444,7495
SMK,2022/2023,Sumatera Utara,270,703,10584,10550,137972,170921
SMK,2022/2023,Sumatera Barat,114,98,6204,1516,75205,14094
SMK,2022/2023,Riau,128,175,5193,3296,66389,37646
SMK,2022/2023,Jambi,104,75,3535,937,39326,10738
SMK,2022/2023,Sumatera Selatan,120,190,5604,3061,75576,48075
SMK,2022/2023,Bengkulu,64,40,2565,488,26402,3806
SMK,2022/2023,Lampung,111,381,4865,5893,67956,81763
SMK,2022/2023,Kepulauan Bangka Belitung,36,23,1359,385,19335,5599
SMK,2022/2023,Kepulauan Riau,36,74,1687,864,26053,10039
SMK,2022/2023,DKI Jakarta,73,499,3296,8505,56768,139206
SMK,2022/2023,Jawa Barat,288,2617,17534,40788,330779,745666
SMK,2022/2023,Jawa Tengah,237,1312,16917,29224,292022,498113
SMK,2022/2023,DI Yogyakarta,50,162,3276,3442,50598,36287
SMK,2022/2023,Jawa Timur,297,1852,20063,28696,343774,426456
SMK,2022/2023,Banten,91,648,4406,9313,88794,160573
SMK,2022/2023,Bali,54,117,3436,2445,52391,35608
SMK,2022/2023,Nusa Tenggara Barat,99,238,5301,2613,55150,23881
SMK,2022/2023,Nusa Tenggara Timur,165,157,5512,3078,60410,43626
SMK,2022/2023,Kalimantan Barat,110,118,3158,1407,56239,19663
SMK,2022/2023,Kalimantan Tengah,94,45,2551,616,27875,6047
