Year,Status,No.,Internet,Total
2021,Private,32,Avaiable,8
2022,Private,32,Unavaiable,2
2022,Private,32,Avaiable,9
2021,Public,32,Unavaiable,7
2023,Private,32,Unavaiable,3
2023,Public,32,Unavaiable,11
2023,Public,32,Avaiable,24
2023,Private,32,Avaiable,8
2022,Public,32,Unavaiable,9
2022,Public,33,Unavaiable,3
2021,Public,33,Unavaiable,3
2021,Private,33,Avaiable,1
2021,Private,33,Unavaiable,2
2021,Public,33,Avaiable,4
2023,Public,33,Unavaiable,1
2023,Public,33,Avaiable,4
2022,Private,33,Avaiable,2
2023,Private,33,Avaiable,1
2022,Public,33,Avaiable,4
2022,Private,33,Unavaiable,2
2023,Private,33,Unavaiable,1
2021,Private,34,Unavaiable,0
2021,Public,34,Unavaiable,2
2021,Public,34,Avaiable,2
2021,Private,34,Avaiable,1
2023,Private,34,Avaiable,1
2023,Private,34,Unavaiable,1
2023,Public,34,Avaiable,0
2023,Private,34,Unavaiable,0
2023,Public,34,Avaiable,1
2023,Public,34,Unavaiable,0
2023,Public,34,Avaiable,4
2023,Public,34,Unavaiable,0
2023,Private,34,Avaiable,0
2023,Public,34,Unavaiable,0
2023,Private,34,Avaiable,0
2023,Private,34,Unavaiable,0
2022,Public,34,Unavaiable,2
2022,Public,34,Avaiable,2
2023,Public,34,Avaiable,0
2023,Private,34,Unavaiable,0
2022,Private,34,Unavaiable,0
2022,Private,34,Avaiable,1
2023,Public,34,Avaiable,1
2023,Public,34,Unavaiable,0
2023,Private,34,Avaiable,0
2023,Public,34,Unavaiable,0
2023,Private,34,Avaiable,1
2023,Private,34,Unavaiable,0
